appeal_agency,exempt,id,jurisdiction,name,parent,requires_proxy,slug,status,types
,False,23729,4165,Durham Social Services,,False,department-social-services,approved,[]
,False,9777,22902,City Clerk's Office - Vital Records,,False,city-clerks-office-vital-records-department,approved,[]
,False,23573,315,Baltimore City Department Of Transportation,,False,baltimore-city-department-of-transportation,approved,[]
,False,9881,304,"Department of Environmental Protection, Division of Mining and Reclamation",,False,department-of-environmental-protection-division-of-mining-and-reclamation,approved,[]
,False,23686,25172,Lake County Ohio Clerk Of Court,,False,lake-county-ohio-clerk-of-court,approved,[]
,False,2436,10,United States Chemical Safety and Hazard Investigation Board,,False,united-states-chemical-safety-and-hazard-investigation-board,approved,[]
,False,4517,10,U.S. Army - Assistant Secretary of the Army (Financial Management and Comptroller),,False,us-army-assistant-secretary-army-financial-management-and-comptroller,approved,[]
,False,23763,109,CAPITAL METROPOLITAN TRANSPORTATION AUTHORITY,,False,capital-metro,approved,[]
,False,23744,1,"Drug Control Program, Department Of Public Health",,False,drug-control-program-department-of-public-health,approved,[]
,False,10584,16126,Washington Parish Government,,False,washington-parish-government,approved,[]
,False,23765,17,Office of The Special Narcotics Prosecutor,,False,office-of-the-special-narcotics-prosecutor,approved,[]
,False,11420,27261,Berks County Sheriff,,False,berks-county-sheriff,approved,[]
,False,23782,154,Townson University,,False,townson-university,approved,[]
,False,23770,161,Charlotte Department Of Transportation,,False,charlotte-department-of-transportation,approved,[]
,False,23775,3417,San Gabriel Unified School District,,False,san-gabriel-unified-school-district,approved,[]
,False,23783,32214,West Virgina Division Of Corrections,,False,west-virgina-division-of-corrections,approved,[]
,False,4631,155,"Department of Labor and Workforce Development, Division of Occupational Safety and Health (TN)",,True,department-labor-and-workforce-development-division-occupational-safety-and-health-tn,approved,[]
,False,23577,139,Innovation Office,,False,innovation-office,approved,[]
,False,6172,25203,Summit County Prosecuting Attorney's Office,,False,summit-county-prosecuting-attorneys-office,approved,[]
,False,23774,3228,Community Development,,False,community-development,approved,[]
,False,23785,25416,Police Department,,False,police-department,approved,[]
,False,31090,8615,Milwaukee County District Attorney,,False,milwaukee-county-district-attorney,approved,[]
,False,31089,5517,Hartford County (ct) District Attorney,,False,hartford-county-ct-district-attorney,approved,[]
,False,23730,153,Durham County Attorney,,False,durham-county-attorney,approved,[]
,False,31083,26620,Johnston County Sheriff,,False,johnston-county-sheriff,approved,[]
