abbrev,id,level,name,parent,slug
,334,l,Chelsea,1,chelsea
,335,l,Newark,229,newark
,336,l,San Jose,52,san-jose
,337,l,St. Louis,299,st-louis
,338,l,Montgomery County,154,montgomery-county
,339,l,El Paso,109,el-paso
,340,l,Cincinnati,116,cincinnati
,341,l,Oklahoma City,248,oklahoma-city
,342,l,Tampa,34,tampa
,343,l,Albuquerque,227,albuquerque
,344,l,Wake County,153,wake-county
,345,l,Durham County,153,durham-county
,346,l,Raleigh,153,raleigh
,347,l,Garner,153,garner
,348,l,Lawrence,1,lawrence
,349,l,Medford,1,medford
,350,l,Norwood,1,norwood
,351,l,Southbridge,1,southbridge
,352,l,Wakefield,1,wakefield
,353,l,West Springfield,1,west-springfield
,354,l,Gaston County,153,gaston-county
,355,l,La Plata,154,la-plata
,356,l,Bastrop County,109,bastrop-county
,357,l,Charles County,154,charles-county
,358,l,Los Angeles County,52,los-angeles-county
,359,l,Salt Lake City,234,salt-lake-city
,360,l,Orange County,16,orange-county
,361,l,La Plata County,127,la-plata-county
,362,l,Durango,127,durango
,363,l,Grand Forks County,232,grand-forks-county
,364,l,Aurora,127,aurora
,365,l,Cook County,168,cook-county
,366,l,Stark County,168,stark-county
,367,l,Stark County,116,stark-county
,368,l,Placerville,52,placerville
,369,l,Westerly,82,westerly
,370,l,Independence,299,independence
,371,l,Larimer County,127,larimer-county
,372,l,Lewis County,54,lewis-county
,373,l,Wallowa County,158,wallowa-county
,374,l,El Dorado,111,el-dorado
,375,l,Everett,1,everett
,376,l,Mchenry,168,mchenry
,377,l,Hayward,52,hayward
,378,l,Fulton County,114,fulton-county
,379,l,Fort Wayne,152,fort-wayne
,380,l,Grand Forks,232,grand-forks
,381,l,Manalapan,229,manalapan
,382,l,Hillsborough County,34,hillsborough-county
,383,l,Hennepin County,156,hennepin-county
,384,l,Woodbridge,229,woodbridge
,385,l,Northampton,1,northampton
,386,l,Columbia,302,columbia
,387,l,Broward County,34,broward-county
,388,l,Redwood,52,redwood
,389,l,Bloomington,156,bloomington
,390,l,Logan,234,logan
,391,l,Grand Rapids,156,grand-rapids
,392,l,Clark County,301,clark-county
,393,l,Harris County,109,harris-county
,394,l,Orange County,52,orange-county
,395,l,Riverside,52,riverside
,397,l,Sacramento County,52,sacramento-county
,398,l,Greer,302,greer
,399,l,Van Wert County,116,van-wert-county
,400,l,Hall County,230,hall-county
,401,l,Carol Stream,168,carol-stream
,402,l,Bellevue,54,bellevue
,403,l,Springfield,299,springfield
,404,l,Marina,52,marina
,405,l,Lawton,248,lawton
,406,l,Montgomery County,128,montgomery-county
,407,l,Russell County,128,russell-county
,408,l,Pinal County,78,pinal-county
