abbrev,id,level,name,parent,slug,parent_abbrev
,284,l,Tewksbury,1.0,tewksbury,MA
,285,l,Kansas City,111.0,kansas-city,MA
,286,l,Ann Arbor,117.0,ann-arbor,MA
,287,l,Eastland County,109.0,eastland-county,MA
,288,l,Erie County,16.0,erie-county,MA
,289,l,Eden,16.0,eden,MA
,290,l,Monroe County,16.0,monroe-county,MA
,291,l,Long Beach,52.0,long-beach,NY
,292,l,Concord,52.0,concord,MA
,293,l,Lexington,147.0,lexington,KS
,294,l,Chandler,78.0,chandler,MI
,295,l,Berkeley,52.0,berkeley,TX
,296,l,Novato,52.0,novato,NY
,297,l,Suffolk County,16.0,suffolk-county,NY
,298,l,Bethel Park,126.0,bethel-park,NY
MO,299,s,Missouri,10.0,missouri,CA
NE,300,s,Nebraska,10.0,nebraska,CA
NV,301,s,Nevada,10.0,nevada,KY
SC,302,s,South Carolina,10.0,south-carolina,AZ
SD,303,s,South Dakota,10.0,south-dakota,CA
WV,304,s,West Virginia,10.0,west-virginia,CA
WY,305,s,Wyoming,10.0,wyoming,NY
,306,l,Allegheny County,126.0,allegheny-county,PA
,307,l,Sacramento,52.0,sacramento,USA
,308,l,East Lansing,117.0,east-lansing,USA
,309,l,Lacey,54.0,lacey,USA
,310,l,Lansing,117.0,lansing,USA
,311,l,Canby,158.0,canby,USA
,312,l,Oconee County,302.0,oconee-county,USA
,313,l,Gwinnett County,230.0,gwinnett-county,USA
,314,l,Detroit,117.0,detroit,PA
,315,l,Baltimore,154.0,baltimore,CA
,316,l,Nassau County,16.0,nassau-county,MI
,317,l,Las Vegas,301.0,las-vegas,WA
,318,l,Dover,1.0,dover,MI
,319,l,Memphis,155.0,memphis,OR
,320,l,Milwaukee,146.0,milwaukee,SC
,321,l,Honolulu,247.0,honolulu,GA
,322,l,Baltimore County,154.0,baltimore-county,MI
,323,l,Columbus,116.0,columbus,MD
,324,l,San Antonio,109.0,san-antonio,NY
,325,l,Atlanta,230.0,atlanta,NV
,326,l,Jacksonville,34.0,jacksonville,MA
,327,l,Cleveland,116.0,cleveland,TN
,328,l,Prince George's County,154.0,prince-georges-county,WI
,329,l,New Orleans,233.0,new-orleans,HI
,330,l,Fort Worth,109.0,fort-worth,MD
,331,l,Kansas City,299.0,kansas-city,OH
,332,l,Ashland,1.0,ashland,TX
,333,l,Brockton,1.0,brockton,GA
,334,l,Chelsea,1.0,chelsea,FL
,335,l,Newark,229.0,newark,OH
,336,l,San Jose,52.0,san-jose,MD
,337,l,St. Louis,299.0,st-louis,LA
,338,l,Montgomery County,154.0,montgomery-county,TX
,339,l,El Paso,109.0,el-paso,MO
,340,l,Cincinnati,116.0,cincinnati,MA
,341,l,Oklahoma City,248.0,oklahoma-city,MA
,342,l,Tampa,34.0,tampa,MA
,343,l,Albuquerque,227.0,albuquerque,NJ
,344,l,Wake County,153.0,wake-county,CA
,345,l,Durham County,153.0,durham-county,MO
,346,l,Raleigh,153.0,raleigh,MD
,347,l,Garner,153.0,garner,TX
,348,l,Lawrence,1.0,lawrence,OH
,349,l,Medford,1.0,medford,OK
,350,l,Norwood,1.0,norwood,FL
,351,l,Southbridge,1.0,southbridge,NM
,352,l,Wakefield,1.0,wakefield,NC
,353,l,West Springfield,1.0,west-springfield,NC
,354,l,Gaston County,153.0,gaston-county,NC
,355,l,La Plata,154.0,la-plata,NC
,356,l,Bastrop County,109.0,bastrop-county,MA
,357,l,Charles County,154.0,charles-county,MA
,358,l,Los Angeles County,52.0,los-angeles-county,MA
,359,l,Salt Lake City,234.0,salt-lake-city,MA
,360,l,Orange County,16.0,orange-county,MA
,361,l,La Plata County,127.0,la-plata-county,MA
,362,l,Durango,127.0,durango,NC
,363,l,Grand Forks County,232.0,grand-forks-county,MD
,364,l,Aurora,127.0,aurora,TX
,365,l,Cook County,168.0,cook-county,MD
,366,l,Stark County,168.0,stark-county,CA
,367,l,Stark County,116.0,stark-county,UT
,368,l,Placerville,52.0,placerville,NY
,369,l,Westerly,82.0,westerly,CO
,370,l,Independence,299.0,independence,CO
,371,l,Larimer County,127.0,larimer-county,ND
,372,l,Lewis County,54.0,lewis-county,CO
,373,l,Wallowa County,158.0,wallowa-county,IL
,374,l,El Dorado,111.0,el-dorado,IL
,375,l,Everett,1.0,everett,OH
,376,l,Mchenry,168.0,mchenry,CA
,377,l,Hayward,52.0,hayward,RI
,378,l,Fulton County,114.0,fulton-county,MO
,379,l,Fort Wayne,152.0,fort-wayne,CO
,380,l,Grand Forks,232.0,grand-forks,WA
,381,l,Manalapan,229.0,manalapan,OR
,382,l,Hillsborough County,34.0,hillsborough-county,KS
,383,l,Hennepin County,156.0,hennepin-county,MA
,384,l,Woodbridge,229.0,woodbridge,IL
,385,l,Northampton,1.0,northampton,CA
,386,l,Columbia,302.0,columbia,AR
,387,l,Broward County,34.0,broward-county,IN
,388,l,Redwood,52.0,redwood,ND
,389,l,Bloomington,156.0,bloomington,NJ
,390,l,Logan,234.0,logan,FL
,391,l,Grand Rapids,156.0,grand-rapids,MN
,392,l,Clark County,301.0,clark-county,NJ
,393,l,Harris County,109.0,harris-county,MA
,394,l,Orange County,52.0,orange-county,SC
,395,l,Riverside,52.0,riverside,FL
,397,l,Sacramento County,52.0,sacramento-county,CA
,398,l,Greer,302.0,greer,MN
,399,l,Van Wert County,116.0,van-wert-county,UT
,400,l,Hall County,230.0,hall-county,MN
,401,l,Carol Stream,168.0,carol-stream,NV
,402,l,Bellevue,54.0,bellevue,TX
,403,l,Springfield,299.0,springfield,CA
,404,l,Marina,52.0,marina,CA
,405,l,Lawton,248.0,lawton,
,406,l,Montgomery County,128.0,montgomery-county,CA
,407,l,Russell County,128.0,russell-county,SC
,408,l,Pinal County,78.0,pinal-county,OH
,409,l,Bentonville,114.0,bentonville,GA
,410,l,Prince William County,128.0,prince-william-county,IL
,411,l,Chesterfield County,128.0,chesterfield-county,WA
,412,l,Loudoun County,128.0,loudoun-county,MO
,413,l,Henrico County,128.0,henrico-county,CA
,414,l,Norfolk County,128.0,norfolk-county,OK
,415,l,Arlington County,128.0,arlington-county,VA
,416,l,Chesapeake City,154.0,chesapeake-city,VA
,417,l,Lexington,1.0,lexington,AZ
,418,l,Clay County,34.0,clay-county,AR
,419,l,Barrington,168.0,barrington,VA
,420,l,Newtown,53.0,newtown,VA
,425,l,Hazelton,126.0,hazelton,VA
,426,l,Ascension Parish,233.0,ascension-parish,VA
,427,l,Bossier Parish,233.0,bossier-parish,VA
,428,l,Caddo Parish,233.0,caddo-parish,VA
,429,l,Calcasieu Parish,233.0,calcasieu-parish,MD
,430,l,East Baton Rouge Parish,233.0,east-baton-rouge-parish,MA
,431,l,Jefferson Parish,233.0,jefferson-parish,FL
,432,l,Lafayette Parish,233.0,lafayette-parish,IL
,433,l,Livingston Parish,233.0,livingston-parish,CT
,434,l,Orleans Parish,233.0,orleans-parish,
,435,l,Ouachita Parish,233.0,ouachita-parish,
,436,l,Rapides Parish,233.0,rapides-parish,
,437,l,Saint Tammany Parish,233.0,saint-tammany-parish,
,438,l,Terrebonne Parish,233.0,terrebonne-parish,PA
,439,l,Accomack County,128.0,accomack-county,LA
,440,l,Albemarle County,128.0,albemarle-county,LA
,441,l,Alleghany County,128.0,alleghany-county,LA
,442,l,Acton,1.0,acton,LA
,443,l,Acushnet,1.0,acushnet,LA
,444,l,Adams,1.0,adams,LA
,445,l,Agawam,1.0,agawam,LA
,446,l,Alford,1.0,alford,LA
,447,l,Amesbury,1.0,amesbury,LA
,448,l,Andover,1.0,andover,LA
,449,l,Aquinnah,1.0,aquinnah,LA
,450,l,Arlington,1.0,arlington,LA
,451,l,Ashburnham,1.0,ashburnham,LA
,452,l,Ashby,1.0,ashby,VA
,453,l,Ashfield,1.0,ashfield,VA
,454,l,Athol,1.0,athol,VA
,455,l,Attleboro,1.0,attleboro,MA
,456,l,Auburn,1.0,auburn,MA
,457,l,Avon,1.0,avon,MA
,458,l,Ayer,1.0,ayer,MA
,459,l,Barre,1.0,barre,MA
,460,l,Becket,1.0,becket,MA
,461,l,Bedford,1.0,bedford,MA
,462,l,Belchertown,1.0,belchertown,MA
,463,l,Bellingham,1.0,bellingham,MA
,464,l,Berkley,1.0,berkley,MA
,465,l,Berlin,1.0,berlin,MA
,466,l,Bernardston,1.0,bernardston,MA
,467,l,Billerica,1.0,billerica,MA
,468,l,Blackstone,1.0,blackstone,MA
,469,l,Blandford,1.0,blandford,MA
,470,l,Bolton,1.0,bolton,MA
,471,l,Bourne,1.0,bourne,MA
,472,l,Boxborough,1.0,boxborough,MA
,473,l,Boxford,1.0,boxford,MA
,474,l,Boylston,1.0,boylston,MA
,475,l,Brewster,1.0,brewster,MA
,476,l,Bridgewater,1.0,bridgewater,MA
,477,l,Brimfield,1.0,brimfield,MA
,478,l,Brookfield,1.0,brookfield,MA
,479,l,Buckland,1.0,buckland,MA
,480,l,Canton,1.0,canton,MA
,481,l,Carlisle,1.0,carlisle,MA
,482,l,Carver,1.0,carver,MA
,483,l,Charlemont,1.0,charlemont,MA
,484,l,Charlton,1.0,charlton,MA
,485,l,Chatham,1.0,chatham,MA
,486,l,Cheshire,1.0,cheshire,MA
,487,l,Chester,1.0,chester,MA
,488,l,Chesterfield,1.0,chesterfield,MA
,489,l,Chicopee,1.0,chicopee,MA
,490,l,Chilmark,1.0,chilmark,MA
,491,l,Clarksburg,1.0,clarksburg,MA
,492,l,Clinton,1.0,clinton,MA
,493,l,Colrain,1.0,colrain,MA
,494,l,Conway,1.0,conway,MA
,495,l,Cummington,1.0,cummington,MA
,496,l,Dalton,1.0,dalton,MA
,497,l,Dartmouth,1.0,dartmouth,MA
,498,l,Deerfield,1.0,deerfield,MA
,499,l,Dennis,1.0,dennis,MA
,500,l,Dighton,1.0,dighton,MA
,501,l,Douglas,1.0,douglas,MA
,502,l,Dracut,1.0,dracut,MA
,503,l,Dudley,1.0,dudley,MA
,504,l,Dunstable,1.0,dunstable,MA
,505,l,Duxbury,1.0,duxbury,MA
,506,l,East Bridgewater,1.0,east-bridgewater,MA
,507,l,East Brookfield,1.0,east-brookfield,MA
,508,l,East Longmeadow,1.0,east-longmeadow,MA
,509,l,Eastham,1.0,eastham,MA
,510,l,Easthampton,1.0,easthampton,MA
,511,l,Easton,1.0,easton,MA
,512,l,Edgartown,1.0,edgartown,MA
,513,l,Egremont,1.0,egremont,MA
,514,l,Erving,1.0,erving,MA
,515,l,Essex,1.0,essex,MA
,516,l,Fairhaven,1.0,fairhaven,MA
,517,l,Falmouth,1.0,falmouth,MA
,518,l,Florida,1.0,florida,MA
,519,l,Freetown,1.0,freetown,MA
,520,l,Gardner,1.0,gardner,MA
,521,l,Georgetown,1.0,georgetown,MA
,522,l,Gill,1.0,gill,MA
,523,l,Goshen,1.0,goshen,MA
,524,l,Gosnold,1.0,gosnold,MA
,525,l,Grafton,1.0,grafton,MA
,526,l,Granby,1.0,granby,MA
,527,l,Granville,1.0,granville,MA
,528,l,Great Barrington,1.0,great-barrington,MA
,529,l,Greenfield,1.0,greenfield,MA
,530,l,Groveland,1.0,groveland,MA
,531,l,Hadley,1.0,hadley,MA
,532,l,Halifax,1.0,halifax,MA
,533,l,Hamilton,1.0,hamilton,MA
,534,l,Hampden,1.0,hampden,MA
,535,l,Hancock,1.0,hancock,MA
,536,l,Hanover,1.0,hanover,MA
,537,l,Hanson,1.0,hanson,MA
,538,l,Hardwick,1.0,hardwick,MA
,539,l,Harvard,1.0,harvard,MA
,540,l,Harwich,1.0,harwich,MA
,541,l,Hatfield,1.0,hatfield,MA
,542,l,Heath,1.0,heath,MA
,543,l,Hinsdale,1.0,hinsdale,MA
,544,l,Holbrook,1.0,holbrook,MA
,545,l,Holden,1.0,holden,MA
,546,l,Holland,1.0,holland,MA
,547,l,Holliston,1.0,holliston,MA
,548,l,Holyoke,1.0,holyoke,MA
,549,l,Hopedale,1.0,hopedale,MA
,550,l,Hopkinton,1.0,hopkinton,MA
,551,l,Hubbardston,1.0,hubbardston,MA
,552,l,Hudson,1.0,hudson,MA
,553,l,Huntington,1.0,huntington,MA
,554,l,Ipswich,1.0,ipswich,MA
,555,l,Kingston,1.0,kingston,MA
,556,l,Lakeville,1.0,lakeville,MA
,557,l,Lancaster,1.0,lancaster,MA
,558,l,Lanesborough,1.0,lanesborough,MA
,559,l,Lee,1.0,lee,MA
,560,l,Lenox,1.0,lenox,MA
,561,l,Leominster,1.0,leominster,MA
,562,l,Leverett,1.0,leverett,MA
,563,l,Leyden,1.0,leyden,MA
,564,l,Lincoln,1.0,lincoln,MA
,565,l,Littleton,1.0,littleton,MA
,566,l,Ludlow,1.0,ludlow,MA
,567,l,Lunenburg,1.0,lunenburg,MA
,568,l,Lynnfield,1.0,lynnfield,MA
,569,l,Manchester-by-the-Sea,1.0,manchester-by-the-sea,MA
,570,l,Marblehead,1.0,marblehead,MA
,571,l,Marion,1.0,marion,MA
,572,l,Marshfield,1.0,marshfield,MA
,573,l,Mashpee,1.0,mashpee,MA
,574,l,Mattapoisett,1.0,mattapoisett,MA
,575,l,Maynard,1.0,maynard,MA
,576,l,Medfield,1.0,medfield,MA
,577,l,Medway,1.0,medway,MA
,578,l,Melrose,1.0,melrose,MA
,579,l,Mendon,1.0,mendon,MA
,580,l,Merrimac,1.0,merrimac,MA
,581,l,Methuen,1.0,methuen,MA
,582,l,Middleborough,1.0,middleborough,MA
,583,l,Middlefield,1.0,middlefield,MA
,584,l,Millbury,1.0,millbury,MA
,585,l,Millis,1.0,millis,MA
,586,l,Millville,1.0,millville,MA
,587,l,Monroe,1.0,monroe,MA
,588,l,Monson,1.0,monson,MA
,589,l,Montague,1.0,montague,MA
,590,l,Monterey,1.0,monterey,MA
,591,l,Montgomery,1.0,montgomery,MA
,592,l,Mount Washington,1.0,mount-washington,MA
,593,l,Nahant,1.0,nahant,MA
,594,l,Needham,1.0,needham,MA
,595,l,New Bedford,1.0,new-bedford,MA
,596,l,New Braintree,1.0,new-braintree,MA
,597,l,New Marlborough,1.0,new-marlborough,MA
,598,l,New Salem,1.0,new-salem,MA
,599,l,Newbury,1.0,newbury,MA
,600,l,Newburyport,1.0,newburyport,MA
,603,l,Norfolk,1.0,norfolk,MA
,604,l,North Adams,1.0,north-adams,MA
,605,l,North Attleborough,1.0,north-attleborough,MA
,606,l,North Brookfield,1.0,north-brookfield,MA
,607,l,North Reading,1.0,north-reading,MA
,608,l,Northborough,1.0,northborough,MA
,609,l,Northbridge,1.0,northbridge,MA
,610,l,Northfield,1.0,northfield,MA
,611,l,Norton,1.0,norton,MA
,612,l,Norwell,1.0,norwell,MA
,613,l,Oak Bluffs,1.0,oak-bluffs,MA
,614,l,Oakham,1.0,oakham,MA
,615,l,Orange,1.0,orange,MA
,616,l,Orleans,1.0,orleans,
,617,l,Otis,1.0,otis,
,618,l,Oxford,1.0,oxford,MA
,619,l,Paxton,1.0,paxton,MA
,620,l,Pelham,1.0,pelham,MA
,621,l,Pembroke,1.0,pembroke,MA
,622,l,Pepperell,1.0,pepperell,MA
,623,l,Peru,1.0,peru,MA
,624,l,Petersham,1.0,petersham,MA
,625,l,Phillipston,1.0,phillipston,MA
