Person,Number of Files Requested,Page Number
"Park, Brent K Department Of Energy, Deputy Administrator for Defense Nuclear Nonproliferation",10,37
"Parsons, Ronald A Department Of Justice, U.S. Attorney South Dakota",7,38
"Parsons, Ronald A Department Of Justice, U.S. Attorney South Dakota 2",1,38
"Paschall, Richard C Department Of State, Ambassador to Gambia (Republic of)",9,38
"Pasi, Geeta Department Of State, Ambassador to Ethiopia (Federal Democratic Republic of)",3,38
"Patel, Bimal Department Of The Treasury, Assistant Secretary for Financial Institutions",1,38
"Patel, Kashyap Department Of Justice, Director, Federal Bureau of Investigation",4,38
"Patman, Carrin F Department Of State, Ambassador to Iceland (Republic of)",10,38
"Patrick, Ryan K. G. Department Of Justice, U.S. Attorney Texas Southern District",10,38
"Pausch, Matthew F Defense Logistics Agency, DAEO",4,38
"Pedrosa, Eliot Inter-American Development Bank, U.S. Executive Director",9,38
"Pence, Michael R Candidates - F.E.C., Presidential Candidate",1,38
"Pence, Robert F Department Of State, Ambassador to Finland (Republic of)",3,38
"Perez, Carol Z Department Of State, Ambassador to Chile (Republic of)",1,38
"Perez, Carol Z Department Of State, Director General of the Foreign Service",7,38
"Perez, Gabriel White House Office, Technical Advisor",1,38
"Perez, Tom White House Office, Senior Advisor & Director of Office of Intergovernmental Affairs",3,38
"Peterson, Lisa J Department Of State, Ambassador to Burundi (Republic of)",2,38
"Peterson, Lisa J Department Of State, Ambassador to Eswatini (Kingdom of)",2,38
"Peterson, Mark Uniformed Services University Of The Health Sciences, DAEO",4,38
"Petsonk, Carol Department Of Transportation, Assistant Secretary for Aviation & International Affairs",41,38
"Pham, Caroline Commodity Futures Trading Commission, Commissioner",6,38
"Phelan, John Department Of The Navy, Secretary",3,38
"Phillips, Ann Department Of Transportation, Administrator, Maritime Administration",5,38
"Phillips, Dean B Candidates - F.E.C., Presidential Candidate",1,38
"Phillips, Deborah Consumer Financial Protection Bureau, Certificate of Divestiture",1,38
"Phillips, John R National Security Council, Certificate of Divestiture",1,38
"Phillips, John R White House Office, Deputy Assistant to President & NSC Legal Advisor & Deputy Counsel to President for National Security Affairs",3,38
"Phillips, Noah J Federal Trade Commission, Commissioner",4,38
"Phillips, Willie L Federal Energy Regulatory Commission, Commissioner",5,38
"Pirro, Jeanine Department Of Justice, U.S. Attorney District of Columbia",4,38
"Poling, Ashley Postal Regulatory Commission, Commissioner",5,38
"Poling, Ashley Postal Regulatory Commission, Commissioner 2",3,38
"Pollard, Alfred M Federal Housing Finance Agency, DAEO",3,38
"Pollard, Joseph A. Armed Forces Retirement Home, DAEO",6,38
"Pommersheim, John M Department Of State, Ambassador to Tajikistan (Republic of)",16,38
"Porter, Lisa J Department Of Defense/Office Of The Secretary, Deputy Under Secretary for Research & Engineering",4,39
"Pottinger, Matt White House Office, Assistant to President & Deputy National Security Advisor",4,39
"Proffitt, Nick E Department Of Justice, U.S. Marshal Virginia Eastern District",9,39
"Prouty, David National Labor Relations Board, Member",54,39
"Proyect, Andrew C Office Of Administration, DAEO",4,39
"Proyect, Andrew C Privacy And Civil Liberties Oversight Board, DAEO",14,39
"Pryor, Judith Export-Import Bank Of The United States, First Vice President & Vice Chairman",5,39
"Pryor, Judith Export-Import Bank Of The United States, Member, Board of Directors",29,39
"Pryor, Judith Export-Import Bank Of The United States, Member, Board of Directors 2",1,39
"Puchala, Linda A National Mediation Board, Member 3",6,40
"Puchala, Linda A National Mediation Board, Member 4",2,40
"Pyatt, Geoffrey R Department Of State, Ambassador To Greece",6,40
"Pyatt, Geoffrey R Department Of State, Ambassador to Greece",6,40
"Pyatt, Geoffrey R Department Of State, Assistant Secretary for Energy Resources",5,40
"Quintenz, Brian D Commodity Futures Trading Commission, Commissioner",6,40
"Quintenz, Brian D Commodity Futures Trading Commission, Commissioner & Chairman",1,40
"Quirk, Sherry A Tennessee Valley Authority, DAEO",10,40
"Rajkovich, Marco M Federal Mine Safety And Health Review Commission, Commissioner",48,40
"Rajkovich, Marco M Federal Mine Safety And Health Review Commission, Commissioner 2",5,40
"Rajkovich, Marco M Federal Mine Safety And Health Review Commission, Commissioner 3",1,40
"Rakolta, John Department Of State, Ambassador to United Arab Emirates",13,40
"Ramamurti, Bharat N White House Office, Deputy Assistant to the President & Deputy Director of the National Economic Counsel",6,40
"Ramanathan, Erik Department Of State, Ambassador to Sweden",5,40
"Rana, Gautam A Department Of State, Ambassador to Slovak Republic",5,40
"Rapuano, Kenneth P Department Of Defense/Office Of The Secretary, Assistant Secretary for Homeland Defense",4,40
"Ratner, Ely Department Of Defense/Office Of The Secretary, Assistant Secretary for Indo-Pacific Security Affairs",7,41
"Ratney, Michael A Department Of State, Ambassador to Saudi Arabia (Kingdom of)",5,41
"Rayes, Nathalie Department Of State, Ambassador to Croatia (Republic of)",3,41
"Razdan Duggal, Shefali Department Of State, Ambassador to Netherlands (Kingdom of)",10,41
"Reed, Bruce White House Office, Assistant to the President & Deputy Chief of Staff",5,41
"Reed, Jennifer C Southeast Crescent Regional Commission, Federal Cochairperson",4,41
"Reed, Kimberly A Export-Import Bank Of The United States, President & Chairman",3,41
"Reilly, James F Department Of The Interior, Director, U.S. Geological Survey",4,41
"Reilly, Rebecca Securities And Exchange Commission, Certificate of Divestiture",1,41
"Reilly, Rob Surface Transportation Board, Certificate of Divestiture",1,41
"Reimer, David Department Of State, Ambassador to Mauritius & Seychelles (Republic of)",1,41
"Reimer, David Department Of State, Ambassador to Sierra Leone (Republic of)",5,41
"Reinke, Judy R Department Of State, Ambassador to Montenegro (Republic of)",10,41
"Restaino, Gary M Department Of Justice, U.S. Attorney Arizona",22,41
"Rettig, Charles Department Of The Treasury, Commissioner of Internal Revenue",29,41
"Reynoso, Julissa Department Of State, Ambassador to Spain & Andorra",14,41
"Reynoso, Julissa White House Office, Assistant to the President & Chief of Staff to Dr. Jill Biden",2,41
"Rice, Christopher Securities And Exchange Commission, Certificate of Divestiture",1,41
"Rice, Susan E White House Office, Assistant to the President & Domestic Policy Advisor",8,41
"Rich, Jessica Consumer Product Safety Commission, Certificate of Divestiture",1,41
"Rich, Jessica Consumer Product Safety Commission, DAEO",9,41
"Richard, Elizabeth H Department Of State, Ambassador to Greece",1,41
"Richard, Elizabeth H Department Of State, Ambassador to Lebanon (Republic of)",1,41
"Richard, Elizabeth H Department Of State, Coordinator for Counterterrorism w/rank of Ambassador at Large",1,41
"Richards, Jocelyn Department Of Energy, Certificate of Divestiture",1,41
"Richards, Jocelyn Department Of Energy, DAEO",3,41
"Richardson, Amanda Defense Threat Reduction Agency, Certificate of Divestiture",1,41
"Richardson, Cardell K Department Of State, Inspector General",4,41
"Richardson, Erin E. Department Of Health And Human Services, Certificate of Divestiture",1,41
"Richardson, John E Department Of Justice, U.S. Marshal Alabama Middle District",1,41
"Richmond, Cedric White House Office, Senior Advisor",2,42
"Richmond, Geraldine Department Of Energy, Under Secretary for Science & Energy",10,42
"Richmond, John C Department Of State, Director, Office to Monitor & Combat Trafficking w/rank of Ambassador at Large",2,42
"Rigas, Michael J Office Of Personnel Management, Deputy Director",5,42
"Riley, Mary Christina N Department Of Education, Assistant Secretary for Legislation & Congressional Affairs",1,42
"Riley, Rachel Department Of Health And Human Services, Certificate of Divestiture",1,42
"Riley, Richard H Department Of State, Ambassador to Somalia (Federal Republic of)",3,42
"Riley, Robert A Department Of State, Ambassador to Micronesia (Federated States of)",1,42
"Ritter, Alice M Appraisal Subcommittee, DAEO",5,42
"Robb, Peter National Labor Relations Board, General Counsel",5,42
"Robinson, Christopher T Department Of State, Ambassador to Latvia (Republic of)",3,42
"Robinson, Deborah Office Of The Intellectual Property Enforcement Coordinator, Intellectual Property Enforcement Coordinator",1,42
"Robinson, Todd D Department Of State, Assistant Secretary for International Narcotics & Law Enforcement Affairs",9,42
"Rodriguez, Hugo F Department Of State, Ambassador to Nicaragua (Republic of)",1,42
"Rodriguez, James D Department Of Labor, Assistant Secretary for Veterans` Employment & Training",4,42
"Rodriguez, Jose J Department Of Labor, Assistant Secretary for Employment and Training",3,42
"Rodriguez, Julie White House Office, Deputy Assistant to the President & Director of Intergovernmental Affairs",4,42
"Rodriguez, Roberto J Department Of Education, Assistant Secretary for Planning, Evaluation & Policy Development",5,42
"Rollins, Brooke L White House Office, Assistant to President for Strategic Initiatives",3,42
"Rollins, Rachael Department Of Justice, U.S. Attorney Massachusetts",2,42
"Romanowski, Alina L Department Of State, Ambassador to Iraq (Republic of)",11,42
"Romanowski, Alina L Department Of State, Ambassador to Kuwait (State of)",10,42
"Rosen, Daniel N Department Of Justice, U.S. Attorney Minnesota",1,42
"Rosen, Elizabeth Securities And Exchange Commission, Certificate of Divestiture",1,42
"Rosen, Marc J Morris K. Udall Foundation, DAEO",4,42
"Rosen, Mark J Morris K. Udall Foundation, DAEO",1,42
"Rosen, Paul Department Of The Treasury, Assistant Secretary for Investment Security",4,42
"Rosenblum, Daniel N Department Of State, Ambassador to Kazakhstan (Republic of)",4,42
"Rosenblum, Daniel N Department Of State, Ambassador to Uzbekistan (Republic of)",3,42
"Rosenblum, Deborah Department Of Defense/Office Of The Secretary, Assistant Secretary for Nuclear, Chemical & Biological Defense Programs",7,42
"Rosenworcel, Jessica G Federal Communications Commission, Commissioner",1,42
"Rosenworcel, Jessica G Federal Communications Commission, Commissioner 2",1,42
"Rosenworcel, Jessica G Federal Communications Commission, Commissioner 3",7,42
"Rosner, David Federal Energy Regulatory Commission, Commissioner",3,42
"Roth, Arielle Department Of Commerce, Assistant Secretary for Communications & Information",2,42
"Roth, John P Department Of The Air Force, Assistant Secretary for Financial Management (Comptroller)",3,42
"Ruffner, Richard White House Office, Assistant to the President & Director of Oval Office Operations",6,42
"Runkel, Christopher M National Archives And Records Administration, DAEO",11,42
"Sabet, Bijan Department Of State, Ambassador to Czech Republic",26,42
"Sandoval, Adrienne Environmental Protection Agency, Certificate of Divestiture",1,42
"Sandoval, Catherine Chemical Safety And Hazard Investigation Board, Member",6,42
"Santoro, Karen T National Science Foundation, DAEO",153,42
"Satterfield, David M Department Of State, Ambassador to Turkey (Republic of)",2,44
"Satterfield, David M. Department Of State, Ambassador to Turkey (Republic of)",3,44
"Satterfield, Lee Department Of State, Assistant Secretary for Educational & Cultural Affairs",4,44
"Sauber, Richard Department Of Veterans Affairs, General Counsel",12,44
"Sauber, Richard White House Office, Special Counsel to President",7,44
"Sauer, Dean John Department Of Justice, Solicitor General",2,44
"Scavino, Dan J White House Office, Deputy Chief of Staff",2,44
"Scavino, Dan J White House Office, Director of Social Media",2,44
"Schaus, Margaret National Aeronautics And Space Administration, Chief Financial Officer",23,44
"Schiffer, Rolfe Michael Agency For International Development (Aid), Assistant Administrator for Asia",7,44
"Schlick, Austin C Consumer Product Safety Commission, DAEO",10,44
"Schofield, Gary G Department Of Justice, U.S. Marshal Nevada",14,44
"Schroeder, Christopher H Department Of Justice, Assistant Attorney General, Office of Legal Counsel",5,45
"Schuyler, Anne R National Capital Planning Commission, DAEO",7,45
"Scott, Georganne Federal Energy Regulatory Commission, Certificate of Divestiture",1,45
"Scott, Kristi L National Security Agency, Inspector General",1,45
"Scott, Marie Department Of Health And Human Services, Certificate of Divestiture",1,45
"Scott, McGregor Department Of Justice, U.S. Attorney California Eastern District",3,45
"Scott, Robert K Department Of State, Ambassador to Malawi (Republic of)",4,45
"Scott, Rodney Department Of Homeland Security, Commissioner, U.S. Customs & Border Protection",1,45
"Scott, Suzie Candidates - F.E.C., Presidential Candidate",1,45
"Scott, Timothy E Candidates - F.E.C., Presidential Candidate",1,45
"Seale, Viktoria Z Council On Environmental Quality, DAEO",4,45
"Sellinger, Philip Department Of Justice, U.S. Attorney New Jersey",22,45
"Serassio, Helen Corporation For National And Community Service, DAEO",3,45
"Serralta, Gadyaces S Department Of Justice, Director, U.S. Marshals Service",3,45
"Serralta, Gadyaces S Department Of Justice, U.S. Marshal Florida Southern District",11,45
"Serrano, Danae Securities And Exchange Commission, DAEO",7,45
"Shah, Anand Department Of Health And Human Services, Certificate of Divestiture",1,45
"Shah, Jigar Department Of Energy, Certificate of Divestiture",1,45
"Shah, Nirav Department Of Health And Human Services, Certificate of Divestiture",1,45
"Shah, Nitin General Services Administration, DAEO",4,45
"Shambaugh, Jay Department Of The Treasury, Under Secretary for International Affairs",4,45
"Shampaine, Nicole D Department Of State, U.S. Representative to Organization for Prohibition of Chemical Weapons w/rank of Ambassador",3,45
"Shanks, Robert Peace Corps, DAEO",2,45
"Shea, Dennis C. Office Of The Us Trade Representative, Deputy U.S. Trade Representative",2,45
"Shea, Dorothy C Department Of State, Ambassador to Lebanon (Republic of)",7,45
"Shea, Dorothy C Department Of State, U.S. Deputy Representative to United Nations w/rank of Ambassador & U.S. Deputy Representative in United Nations Security Council",5,45
"Sherwood-Randall, Elizabeth White House Office, Assistant to the President for Homeland Security",7,45
"Shores, Robert T Department Of Justice, U.S. Attorney Oklahoma Northern District",7,45
"Shukan, Brian W Department Of State, Ambassador to Benin (Republic of)",17,45
"Silvers, Robert Department Of Homeland Security, Under Secretary for Strategy, Policy, & Plans",10,45
"Simmons, Daniel Department Of Energy, Assistant Secretary for Energy Efficiency & Renewable Energy",2,45
"Simmons, Jamal Office Of The Vice President, Communications Director",3,45
"Simmons, Joshua Central Intelligence Agency, General Counsel",1,45
"Simons, Emilie White House Office, Certificate of Divestiture",1,45
"Simons, Emilie White House Office, Senior Deputy Press Secretary",1,45
"Simons, Joseph J Federal Trade Commission, Commissioner",3,45
"Siskel, Edward White House Office, Certificate of Divestiture",1,45
"Siskel, Edward White House Office, White House Counsel",5,45
"Sisson, Robert International Joint Commission, Commissioner",8,45
"Slater-Chandler, Neysa M Nuclear Waste Technical Review Board, DAEO",44,45
"Slaughter, Justin B. Securities And Exchange Commission, Certificate of Divestiture",1,46
"Slaughter, Rebecca Joy Kelly Federal Trade Commission, Commissioner",6,46
"Slaughter, Rebecca Joy Kelly Federal Trade Commission, Commissioner 2",4,46
"Smith, Brad Department Of Health And Human Services, Certificate of Divestiture",1,46
"Smith, Damon Department Of Housing And Urban Development, General Counsel",16,46
"Smith, Darin D Department Of Justice, U.S. Attorney Wyoming",1,46
"Smith, Delia Department Of Justice, U.S. Attorney Virgin Islands",4,46
"Smith, Enix Department Of Justice, U.S. Marshal Louisiana Eastern District",1,46
"Smith, Gentry O Department Of State, Assistant Secretary for Diplomatic Security",5,46
"Smith, Glen R Department Of Agriculture, Under Secretary for Rural Development",1,46
"Smith, Glen R Farm Credit Administration And Farm Credit System Insurance Corp., Member, Farm Credit Administration Board",6,46
"Smith, Ja'Ron K White House Office, Deputy Assistant to President & Deputy Director of Office of American Innovation",2,46
"Smith, Julianne C Department Of State, U.S. Permanent Representative on the Council of North Atlantic Treaty Organization (NATO) w/rank of Ambassador",3,46
"Smith, Julianne C Department Of State, Under Secretary for Political Affairs",1,46
"Smith, Michael Corporation For National And Community Service, Chief Executive Officer",4,46
"Solomon, Amy L Department Of Justice, Assistant Attorney General, Office of Justice Programs",16,46
"Sonfield, Brian Department Of The Treasury, DAEO",17,46
"Soskin, Eric Department Of Transportation, Inspector General",7,46
"Stafford, Steven Department Of Justice, U.S. Marshal California Southern District",11,46
"Stanley, Marc R Department Of State, Ambassador to Argentina",9,46
"Stanton, Catherine A Armed Services Board Of Contract Appeals, DAEO",6,46
"Stanton, Cheryl M Department Of Labor, Administrator, Wage and Hour Division",2,46
"Starks, Geoffrey A Federal Communications Commission, Commissioner",4,46
"Starks, Geoffrey A Federal Communications Commission, Commissioner 2",5,46
"Steele, Graham Department Of The Treasury, Assistant Secretary for Financial Institutions",4,46
"Steiner, David U.S. Postal Service, Postmaster General",3,46
"Stevens, Allison M National Geospatial Intelligence Agency, DAEO",26,46
"Stevenson, Lisa J Federal Election Commission, DAEO",8,47
"Stevenson, Patrick J White House Office, Deputy Assistant to the President & Senior Advisor for Digital Strategy",3,47
"Stevenson, Susan N Department Of State, Ambassador to Guinea (Republic of Equatorial)",13,47
"Stewart, Barbara Corporation For National And Community Service, Chief Executive Officer",11,47
"Stewart, James N Department Of Defense/Office Of The Secretary, Assistant Secretary for Manpower & Reserve Affairs",1,47
"Stewart, Karen B Department Of State, Ambassador to Marshall Islands (Republic of the)",2,47
"Stewart, Mallory A Department Of State, Assistant Secretary for Arms Control, Verification & Compliance",4,47
"Stewart, Sarah Federal Mine Safety And Health Review Commission, DAEO",2,47
"Stone, Laura M Department Of State, Ambassador to Marshall Islands (Republic of the)",2,47
"Stone, Pamela J Consumer Product Safety Commission, DAEO",2,47
"Stone, Roger White House Office, Deputy Assistant to President & Director of White House Information Technology",5,47
"Stone-Manning, Tracy Department Of The Interior, Director, Bureau of Land Management",8,47
"Storch, Robert P Department Of Defense - Office Of Inspector General, Inspector General",7,47
"Storch, Robert P National Security Agency, Inspector General",4,47
"Stromayer, Eric W Department Of State, Ambassador to Togolese Republic",11,47
"Stuart, James Department Of Justice, U.S. Marshal Minnesota",1,47
"Stuart, Michael Department Of Health And Human Services, General Counsel",2,47
"Stuart, Michael Department Of Justice, U.S. Attorney West Virginia Southern District",26,47
"Sullivan, Adam J Department Of Transportation, Assistant Secretary For Governmental Affairs",2,47
"Sullivan, Adam J Department Of Transportation, Assistant Secretary for Governmental Affairs",2,47
"Sullivan, Jacob White House Office, Assistant to the President & National Security Advisor",7,47
"Sullivan, James J Occupational Safety And Health Review Commission, Commissioner",3,47
"Sullivan, John J Department Of State, Ambassador to Russian Federation",9,47
"Sullivan, Kevin K Department Of State, Ambassador to Nicaragua (Republic of)",4,47
"Sullivan, Meg Department Of Health And Human Services, Certificate of Divestiture",1,47
"Sullivan, Stephanie S Department Of State, Ambassador to Ghana (Republic of)",3,47
"Sullivan, Stephanie S Department Of State, U.S. Representative to African Union w/rank of Ambassador",3,47
"Summers, Thomas A Defense Nuclear Facilities Safety Board, Board Member",1,47
"Summers, Thomas A Defense Nuclear Facilities Safety Board, Board Member 2",21,47
"Sumwalt, Robert L National Transportation Safety Board, Member & Chairman 2",4,48
"Sweatt, Loren National Mediation Board, Member",8,48
"Sweeney, Robert Department Of The Treasury, U.S. Director, Asian Development Bank",1,48
"Sweeney, Tara Department Of The Interior, Assistant Secretary For Indian Affairs",3,48
"Sweeney, Tara Department Of The Interior, Assistant Secretary for Indian Affairs",3,48
"Syed, Dilawar A Department Of State, Certificate of Divestiture",1,48
"Syed, Dilawar Small Business Administration, Deputy Administrator",14,48
"Syed, Mohsin Department Of Transportation, Assistant Secretary for Governmental Affairs",2,48
"Syptak-Ramnath, Stephanie F Department Of State, Ambassador to Peru (Republic of)",5,48
"Szabat, Joel Department Of Transportation, Assistant Secretary for Aviation & International Affairs",2,48
"Taglialatela, Linda S Department Of State, Ambassador to Barbados, Antigua & Barbuda, Commonwealth of Dominica, Grenada, St. Lucia, Federation of St. Kitts & Nevis, & St. Vincent & the Grenadines",14,48
"Talwar, Puneet Department Of State, Ambassador to Morocco (Kingdom of)",5,48
"Tata, Anthony Department Of Defense/Office Of The Secretary, Under Secretary for Personnel & Readiness",2,48
"Taylor, Alexis Department Of Agriculture, Under Secretary for Trade & Foreign Agricultural Affairs",3,48
"Taylor, Kirk M Department Of Justice, U.S. Marshal Colorado",4,48
"Taylor, Margaret Department Of State, Legal Adviser",2,48
"Taylor, Mary E Department Of State, Assistant Secretary for Legislative Affairs",2,48
"Taylor, Michele Department Of State, U.S. Representative to United Nations Human Rights Council",8,48
"Taylor, Richard E Department Of Justice, U.S. Marshal Texas Northern District",5,48
"Telles, Cynthia Department Of State, Ambassador to Costa Rica (Republic of)",40,48
"Teplitz, Alaina B Department Of State, Ambassador to Democratic Socialist Republic of Sri Lanka & Ambassador to Republic of Maldives",6,48
"Teplitz, Alaina B Department Of State, Ambassador to Nepal (Federal Democratic Republic of)",1,48
"Theriot, Nicole D Department Of State, Ambassador to Guyana (Co-Operative Republic of)",9,48
"Thomas-Greenfield, Linda J Department Of State, Ambassador To The United Nations General Assembly",7,49
"Thompson, Catrina A Department Of Justice, U.S. Marshal North Carolina Middle District",1,49
"Thompson, Dean R Department Of State, Ambassador to Nepal (Federal Democratic Republic of)",4,49
"Thompson, Diane Consumer Financial Protection Bureau, Certificate of Divestiture",1,49
"Thompson, Karl White House Office, Certificate of Divestiture",1,49
"Thompson, Karl White House Office, Deputy Counsel to the President",4,49
"Thompson, William Department Of Justice, U.S. Attorney West Virginia Southern District",5,49
"Tobias, Robert M Department Of The Treasury, Member, Internal Revenue Service Oversight Board",9,49
"Toepfer, David Department Of Justice, U.S. Attorney Ohio Northern District",2,49
"Tom, Christian White House Office, Assistant to the President & Director of Digital Strategy",7,49
"Tom, Kip Ernest Department Of State, U.S. Representative to United Nations Agencies for Food and Agriculture (with rank of Ambassador during service)",8,49
"Tomney, Brian M Federal Housing Finance Agency, Inspector General",27,49
"Topping, Richard Department Of Veterans Affairs, Chief Financial Officer",3,49
"Touton, Maria Camille Department Of The Interior, Commissioner of Reclamation",6,49
"Town, John E Department Of Justice, U.S. Attorney Alabama Northern District",3,49
"Traina, Trevor Department Of State, Ambassador to Austria (Republic of)",12,49
"Traynor, Arthur R Federal Mine Safety And Health Review Commission, Commissioner",5,49
"Tremaglio, Ralph Defense Commissary Agency, DAEO",5,49
"Trujillo, Carlos Department Of State, U.S. Permanent Representative to Organization of American States w/rank of Ambassador",2,49
"Trujillo, Tanya Department Of The Interior, Assistant Secretary for Water & Science",6,49
"Trumka, Richard Consumer Product Safety Commission, Commissioner",7,49
"Trump, Donald J Candidates - F.E.C., Presidential Candidate",3,49
"Trump, Ivanka White House Office, Assistant to the President",3,49
"Tsunis, George J Department Of State, Ambassador to Greece",5,49
"Tucker, Brooks Department Of Veterans Affairs, Assistant Secretary for Congressional & Legislative Affairs",2,49
"Tucker, Shelley L Department Of Justice, U.S. Attorney Alaska",5,49
"Tueller, Matthew H Department Of State, Ambassador to Iraq (Republic of)",7,49
"Udall, Thomas Department Of State, Ambassador to New Zealand and Samoa",36,49
"Uhlmann, David Environmental Protection Agency, Assistant Administrator for Enforcement & Compliance Assurance",14,50
"Vaden, Stephen A Department Of Agriculture, General Counsel",8,50
"Vajda, Thomas L. Department Of State, Ambassador to Burma (Union of)",3,50
"Van Schaack, Beth Department Of State, Ambassador at Large for Global Criminal Justice",30,50
"VanVranken, Howard Department Of State, Ambassador to Botswana (Republic of)",6,50
"Vashee, Dharmesh Federal Retirement Thrift Investment Board, DAEO",20,50
"Vazirani, Ashish Department Of Defense/Office Of The Secretary, Deputy Under Secretary for Personnel & Readiness",6,50
"Venkataraman, Arun Department Of Commerce, Assistant Secretary for Global Markets & Director General of U.S. and Foreign Commercial Service",5,50
"Vetter, Ruth Defense Logistics Agency, DAEO",3,50
"Vidal, Katherine Department Of Commerce, Under Secretary for Intellectual Property & Director, U.S. Patent & Trademark Office",5,50
"Vieux, Wener Presidio Trust, DAEO",9,50
"Visek, Richard C Department Of State, DAEO",8,50
"Voles, Lorraine A Office Of The Vice President, Assistant to the President & Chief of Staff to the Vice President",13,50
"Voyatzis, Lisette National Endowment For The Humanities, DAEO",8,51
"Vrooman, Peter H Department Of State, Ambassador to Mozambique (Republic of)",7,51
"Vrooman, Peter H Department Of State, Ambassador to Rwanda (Republic of)",3,51
"Wade, Dana T Department Of Housing And Urban Development, Assistant Secretary for Housing-Federal Housing Commissioner",2,51
"Wainstein, Kenneth Department Of Homeland Security, Under Secretary for Intelligence & Analysis",7,51
"Walden, Paul A Public Buildings Reform Board, DAEO",19,51
"Walker, Bradley M Department Of State, Ambassador at Large for International Religious Freedom",1,51
"Walker, Bruce J Department Of Energy, Assistant Secretary for Electricity Delivery & Energy Reliability",3,51
"Walker, Hershel Department Of State, Ambassador to Bahamas (Commonwealth of The)",1,51
"Wallace, Andrew White House Office, Certificate of Divestiture",1,51
"Wallace, Andrew White House Office, Deputy Assistant to the President & Deputy Director of Legislative Affairs & Senate Liaison",2,51
"Wallace, George R Department Of The Interior, Assistant Secretary for Fish, Wildlife & Parks",3,51
"Wallace, Kathryn Peace Corps, DAEO",6,51
"Wallace, Rachel Office Of Science And Technology Policy, DAEO",2,51
"Wallace, William D. Federal Communications Commission, Certificate of Divestiture",1,51
"Wang, Evelyn N Department Of Energy, Director, Advanced Research Projects Agency",18,51
"Wang, Lisa W Department Of Commerce, Assistant Secretary for Enforcement & Compliance",3,51
"Wardynski, E. Casey Department Of The Army, Assistant Secretary for Manpower & Reserve Affairs",6,51
"Ware, Hannibal M Small Business Administration, Inspector General",8,51
"Warrington, David White House Office, Assistant to the President & Counselor to the President",2,51
"Washington, Donald W Department Of Justice, Director, U.S. Marshals Service",8,51
"Weaver, Adam J Special Inspector General For Afghanistan Reconstruction, DAEO",8,51
"Weaver, David A Department Of Justice, U.S. Marshal Colorado",17,51
"Weaver, Douglas Nuclear Regulatory Commission, Commissioner",1,51
"Weaver, Susannah Environmental Protection Agency, Certificate of Divestiture",1,51
"Weisman, Aaron Department Of Justice, U.S. Attorney Rhode Island",37,51
"Weiss, David C Department Of Justice, U.S. Attorney Delaware",6,52
"Weiss, Nancy E Institute Of Museum And Library Services, DAEO",11,52
"Wentworth, Lia Defense Information Systems Agency, DAEO",29,52
"Werfel, Daniel Department Of The Treasury, Commissioner of Internal Revenue",4,52
"Whitaker, Eric P Department Of State, Ambassador to Niger (Republic of)",4,52
"Whitaker, Matthew G Department Of State, U.S. Permanent Representative on the Council of North Atlantic Treaty Organization (NATO) w/rank of Ambassador",2,52
"Whitaker, Michael Department Of Transportation, Administrator, Federal Aviation Administration",1,52
"Whitman, Margaret Department Of State, Ambassador to Kenya (Republic of)",41,52
"Whyche-Shaw, Oren Department Of The Treasury, U.S. Executive Director, African Development Bank",6,52
"Wilcox, Gwynne National Labor Relations Board, Member",7,52
"Wilcox, Gwynne National Labor Relations Board, Member 2",3,52
"Wilcox, Todd Department Of State, Assistant Secretary for Diplomatic Security",1,52
"Wiles, Susie White House Office, Assistant to the President & Chief of Staff",2,53
"Williams, Andre D Department Of Justice, U.S. Attorney New York Southern District",5,53
"Williams, Ashley N White House Office, Deputy Assistant to the President & Senior Advisor to the President & Director of Strategic Outreach",3,53
"Williams, Beth Ann Department Of Justice, Assistant Attorney General, Office of Legal Policy",2,53
"Williams, Beth Ann Privacy And Civil Liberties Oversight Board, Member",8,53
"Williams, Billy J Department Of Justice, U.S. Attorney Oregon",2,53
"Williams, Brandon Department Of Energy, Under Secretary for Nuclear Security & Administrator, National Nuclear Security Administration",1,53
"Williams, Cary K Federal Reserve System Board Of Governors, DAEO",7,53
"Williams, Charles Department Of The Navy, Assistant Secretary for Energy, Installations & Environment",3,53
"Williams, J. Tyler Department Of The Treasury, Certificate of Divestiture",1,53
"Williams, James E Department Of Labor, Chief Financial Officer",2,53
"Williams, Karen L Department Of State, Ambassador to Suriname (Republic of)",3,53
"Williams, Martha Department Of The Interior, Director, U.S. Fish & Wildlife Service",4,53
"Williams, Michael B White House Office, Deputy Assistant to President & Counselor to Chief of Staff",1,53
"Williams, Taryn Department Of Labor, Assistant Secretary for Disability Employment Policy",5,53
"Winberg, Steven E Department Of Energy, Assistant Secretary for Fossil Energy",9,53
"Witherspoon, Daryl Defense Contract Audit Agency, DAEO",4,53
"Witkowsky, Anne Department Of State, Assistant Secretary for Conflict & Stabilization Operations and Coordinator for Reconstruction & Stabilization",17,53
"Wolcott, Jackie Department Of State, U.S. Representative to Vienna Office of the United Nations & U.S. Representative to International Atomic Energy Agency w/rank of Ambassador",3,53
"Wold, Theodore J White House Office, Deputy Assistant to President for Domestic Policy Council",3,53
"Wolfson, Leonard Department Of Housing And Urban Development, Assistant Secretary for Congressional & Intergovernmental Relations",7,53
"Workman, Jeremiah Department Of Labor, Assistant Secretary for Veterans` Employment & Training",1,53
