Person,Number of Files Requested,Page Number
"Califf, Robert M Department Of Health And Human Services, Commissioner, Food & Drug Administration 2",7,6
"Calvaresi-Barr, Ann Agency For International Development (Aid), Inspector General",3,6
"Calvelli, Frank Department Of The Air Force, Assistant Secretary for Space Acquisition & Integration",5,6
"Camarillo, Gabriel Department Of The Army, Under Secretary",6,6
"Campbell, Cheryl Department Of Health And Human Services, Certificate of Divestiture",1,6
"Campbell, Tison Nuclear Regulatory Commission, DAEO",4,6
"Candeub, Adam Federal Communications Commission, Certificate of Divestiture",1,7
"Candeub, Adam Federal Communications Commission, DAEO",4,7
"Carlson, MaryKay Department Of State, Ambassador to Philippines (Republic of)",5,7
"Carter, Almo Jean Department Of Justice, Commissioner, U.S. Parole Commission",1,7
"Carter, Gregory M Candidates - F.E.C., Presidential Candidate",2,7
"Carter, Mary A National Endowment For The Arts, Chairman",2,7
"Carter, Mary A National Endowment For The Arts, Chairman (2)",1,7
"Carter, Thomas L Department Of State, U.S. Representative to Council of International Civil Aviation Organization w/rank of Ambassador",2,7
"Carter, Willie F Candidates - F.E.C., Presidential Candidate",2,7
"Carty, Lisa Department Of State, U.S. Representative on Economic & Social Council of the United Nations w/rank of Ambassador",6,7
"Chalmers, Charles Pension Benefit Guaranty Corporation, DAEO",8,7
"Chang, Aaron C Office Of The Vice President, Deputy Assistant to President & Director of Advance to Vice President",9,7
"Chang, Albert Consumer Financial Protection Bureau, Certificate of Divestiture",1,7
"Chang, Judy Federal Energy Regulatory Commission, Commissioner",4,7
"Chang, YoungKi Department Of Commerce, Certificate of Divestiture",1,7
"Cheng, Chen Securities And Exchange Commission, Certificate of Divestiture",1,7
"Cheng, Dennis W White House Office, Deputy Assistant to the President & Deputy Director of Political Strategy and Outreach",7,7
"Chorle, Erhard R Railroad Retirement Board, Chairman",81,7
"Christine, Bobby L Department Of Justice, U.S. Attorney Georgia Southern District",2,8
"Christine, Brian Department Of Health And Human Services, Assistant Secretary for Health",3,8
"Cipollone, Pasquale A White House Office, Assistant to the President",8,8
"Cisneros, Gilbert Department Of Defense/Office Of The Secretary, Under Secretary for Personnel & Readiness",31,8
"Cliff, Steven Department Of Transportation, Administrator, National Highway Traffic Safety Administration",3,8
"Cochran, Donald Q Department Of Justice, U.S. Attorney Tennessee Middle District",20,8
"Coffey, John Department Of The Navy, General Counsel",9,8
"Cohen, Adam Department Of The Treasury, Certificate of Divestiture",1,8
"Cohen, David L Department Of State, Ambassador to Canada",12,8
"Cohen, Howard R Candidates - F.E.C., Presidential Candidate",1,8
"Cohen, Jonathan R Department Of State, Ambassador to Egypt (Arab Republic of)",16,8
"Cohen, Jordan Office Of Management And Budget, Certificate of Divestiture",1,8
"Cole, Terrance Department Of Justice, Administrator, Drug Enforcement Administration",2,8
"Coleman, Isobel D Agency For International Development (Aid), Deputy Administrator for Policy",12,8
"Coleman, Russell Department Of Justice, U.S. Attorney Kentucky Western District",2,8
"Combs, Susan Department Of The Interior, Assistant Secretary for Policy, Management & Budget",4,8
"Compton, Jerome P Department Of Housing And Urban Development, General Counsel",6,8
"Contreras, January Department Of Health And Human Services, Assistant Secretary for Children and Families",4,9
"Cooksey, Sean J Federal Election Commission, Commissioner",7,9
"Copan, Walter G Department Of Commerce, Under Secretary for Standards & Technology & Director, National Institute of Standards & Technology",3,9
